Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,46,1,5,<=6,4,2,0.04295687918663027,4.0767,20.3235,4.99,50,1,0.0488,1,0.0435,1,0.0265,xenium_human_breast_cancer_seed4
Non-Contiguous Random,46,1,5,<=6,4,1,3.267602920534185e-06,7.168,19.3229,2.7,50,1,0.7143,1,0.398,1,0.1708,xenium_human_breast_cancer_seed4
Contiguous Random,47,2,6,<=6,5,29,0.297060066575219,6.8903,21.6043,3.14,50,0,0.0,1,0.0405,1,0.0658,xenium_human_breast_cancer_seed4
Non-Contiguous Random,47,2,6,<=6,5,27,0.2464179510171342,6.328,21.5523,3.41,50,0,0.0,1,0.0952,1,0.0918,xenium_human_breast_cancer_seed4
Contiguous Random,48,0,0,<=6,6,3,0.13478763149362535,4.6044,19.2879,4.19,50,1,0.5,1,0.6765,1,0.5682,xenium_human_breast_cancer_seed4
Non-Contiguous Random,48,0,0,<=6,6,1,2.806208725281145e-06,5.3514,20.099,3.76,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Contiguous Random,49,2,8,<=6,5,1,-4.852998163329403e-06,4.5655,21.463,4.7,50,1,1.0,1,1.0,1,0.451,xenium_human_breast_cancer_seed4
Non-Contiguous Random,49,2,8,<=6,5,1,-4.8058165503794825e-06,7.8306,21.4513,2.74,50,1,0.75,1,0.8333,1,0.8684,xenium_human_breast_cancer_seed4
Contiguous Random,50,2,15,7-12,9,10,0.1673332766723633,7.4832,31.5204,4.21,50,1,0.0667,1,0.0903,1,0.0396,xenium_human_breast_cancer_seed4
Non-Contiguous Random,50,2,15,7-12,9,139,0.34172228518168135,7.6968,30.4242,3.95,50,0,0.0,1,0.0461,1,0.0365,xenium_human_breast_cancer_seed4
Contiguous Random,51,1,2,7-12,11,1,2.7259194100848205e-06,9.6136,33.7835,3.51,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,51,1,2,7-12,11,1,-4.1721905096325784e-06,8.2181,32.8327,4.0,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Contiguous Random,52,1,6,7-12,12,1,-2.531732244959173e-06,10.197,39.6474,3.89,50,1,1.0,1,0.8462,1,0.8095,xenium_human_breast_cancer_seed4
Non-Contiguous Random,52,1,6,7-12,12,1,-3.804228275172683e-06,10.2665,38.4452,3.74,50,1,1.0,1,1.0,1,0.9167,xenium_human_breast_cancer_seed4
Contiguous Random,53,0,11,7-12,7,34,0.14647331556869636,5.241,25.7317,4.91,50,1,0.009,1,0.046,1,0.0305,xenium_human_breast_cancer_seed4
Non-Contiguous Random,53,0,11,7-12,7,2,0.06306322314064261,7.7441,25.2764,3.26,50,1,0.25,1,0.1953,1,0.0482,xenium_human_breast_cancer_seed4
Contiguous Random,54,3,14,7-12,8,2,0.014613951196060793,5.7794,27.288,4.72,50,1,0.2,1,0.1731,1,0.104,xenium_human_breast_cancer_seed4
Non-Contiguous Random,54,3,14,7-12,8,8,0.18292468378302296,5.5171,27.2618,4.94,50,1,0.0714,1,0.1667,1,0.0803,xenium_human_breast_cancer_seed4
Contiguous Random,55,1,12,7-12,10,11,0.1458926776926336,6.2989,32.0018,5.08,50,1,0.1212,1,0.0845,1,0.069,xenium_human_breast_cancer_seed4
Non-Contiguous Random,55,1,12,7-12,10,11,0.19784881747050287,7.6477,32.3768,4.23,50,1,0.0952,1,0.1361,1,0.0529,xenium_human_breast_cancer_seed4
Contiguous Random,56,2,1,7-12,7,1,1.6084490525036799e-06,5.9345,22.7757,3.84,50,1,0.5714,1,0.2895,1,0.2178,xenium_human_breast_cancer_seed4
Non-Contiguous Random,56,2,1,7-12,7,1,-4.887977056000636e-06,5.2839,22.8674,4.33,50,1,0.6667,1,0.6667,1,0.3443,xenium_human_breast_cancer_seed4
Contiguous Random,57,3,11,7-12,7,4,0.08209838540343861,5.4362,25.3205,4.66,50,1,0.2586,1,0.1373,1,0.0381,xenium_human_breast_cancer_seed4
Non-Contiguous Random,57,3,11,7-12,7,3,0.045141772745068476,6.4409,25.2896,3.93,50,1,0.2308,1,0.0852,1,0.04,xenium_human_breast_cancer_seed4
Contiguous Random,58,3,14,7-12,9,1,1.569010416702099e-06,6.2319,29.6561,4.76,50,1,1.0,1,1.0,1,0.8889,xenium_human_breast_cancer_seed4
Non-Contiguous Random,58,3,14,7-12,9,1,1.2543614705817774e-06,5.6126,29.6629,5.29,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Contiguous Random,59,1,14,7-12,8,3,0.1785424902067596,7.8493,26.8806,3.42,50,1,0.3333,1,0.1416,1,0.0631,xenium_human_breast_cancer_seed4
Non-Contiguous Random,59,1,14,7-12,8,1,1.6395632574939256e-06,5.7205,27.1208,4.74,50,1,0.2778,1,0.2143,1,0.0707,xenium_human_breast_cancer_seed4
Contiguous Random,60,2,2,7-12,12,1,-1.9518105872640135e-06,10.0451,34.1287,3.4,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,60,2,2,7-12,12,1,2.3464146089446913e-06,9.458,36.3241,3.84,50,1,1.0,1,0.9333,1,0.9444,xenium_human_breast_cancer_seed4
Contiguous Random,61,1,6,7-12,9,1,-4.589360555029565e-06,8.4164,30.9704,3.68,50,1,0.2609,1,0.2313,1,0.0565,xenium_human_breast_cancer_seed4
