Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,48,0,13,<=6,5,2,0.11062286945082828,5.3995,25.0392,4.64,50,1,0.5,1,0.2857,1,0.3243,xenium_human_pancreatic_cancer_seed1
Contiguous Random,49,0,24,<=6,4,1,-1.0700798034890546e-06,5.0034,23.5127,4.7,50,1,0.5,1,0.3774,1,0.0799,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,49,0,24,<=6,4,1,-1.0700798034890546e-06,4.9155,23.6409,4.81,50,1,0.5,1,0.3774,1,0.0799,xenium_human_pancreatic_cancer_seed1
Contiguous Random,50,0,21,7-12,10,1,7.241689965464815e-07,7.6056,43.2258,5.68,50,1,1.0,1,1.0,1,0.7547,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,50,0,21,7-12,10,102,0.19956350133802758,9.3416,43.3608,4.64,50,0,0.0,1,0.0165,1,0.0269,xenium_human_pancreatic_cancer_seed1
Contiguous Random,51,1,21,7-12,10,7,0.0446199605101506,8.0953,42.6695,5.27,50,1,0.152,1,0.0482,1,0.0321,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,51,1,21,7-12,10,1,-2.7895155375601277e-06,7.6101,42.343,5.56,50,1,0.2642,1,0.0893,1,0.0375,xenium_human_pancreatic_cancer_seed1
Contiguous Random,52,0,1,7-12,7,2,0.03325361204515493,6.1874,26.2822,4.25,50,1,0.6154,1,0.7353,1,0.4464,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,52,0,1,7-12,7,1,0.0,6.4265,25.5071,3.97,50,1,0.0792,1,0.0792,1,0.0792,xenium_human_pancreatic_cancer_seed1
Contiguous Random,53,1,13,7-12,7,2,0.1433675395349568,6.9522,30.0356,4.32,50,1,0.5,1,0.1714,1,0.0946,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,53,1,13,7-12,7,2,0.052787365202810355,7.6028,29.1972,3.84,50,1,0.2727,1,0.3019,1,0.1437,xenium_human_pancreatic_cancer_seed1
Contiguous Random,54,3,21,7-12,8,6,0.0785271268389312,7.7665,36.1173,4.65,50,1,0.0789,1,0.0513,1,0.0342,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,54,3,21,7-12,8,9,0.053805282483966654,9.3682,34.0814,3.64,50,1,0.0784,1,0.0468,1,0.0342,xenium_human_pancreatic_cancer_seed1
Contiguous Random,55,1,4,7-12,8,1,-6.850372927247328e-08,7.3881,27.2172,3.68,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,55,1,4,7-12,8,1,-2.6913551538498837e-06,6.6646,26.9329,4.04,50,1,1.0,1,0.9143,1,0.9189,xenium_human_pancreatic_cancer_seed1
Contiguous Random,56,3,17,7-12,7,6,0.0657987653507438,7.8437,31.1985,3.98,50,1,0.0645,1,0.08,1,0.0421,xenium_human_pancreatic_cancer_seed1
