Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,50,0,14,7-12,11,9,0.17319192485874646,2.4277,14.6311,6.03,50,1,0.1111,1,0.1805,1,0.1701,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,50,0,14,7-12,11,1,1.370177133752648e-06,3.0666,13.8368,4.51,50,1,0.4545,1,0.2366,1,0.1479,xenium_human_kidney_nondiseased_seed4
Contiguous Random,51,0,13,7-12,8,1,1.771573233555479e-06,4.7016,10.8297,2.3,50,1,0.5714,1,0.2483,1,0.0879,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,51,0,13,7-12,8,3,0.015920193421960604,3.8391,10.7553,2.8,50,1,0.24,1,0.1589,1,0.0797,xenium_human_kidney_nondiseased_seed4
Contiguous Random,52,0,5,7-12,11,1,-4.9634145836696675e-06,3.3848,12.2792,3.63,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,52,0,5,7-12,11,1,-7.326256614703652e-07,3.7244,11.9955,3.22,50,1,1.0,1,1.0,1,0.9655,xenium_human_kidney_nondiseased_seed4
Contiguous Random,53,0,16,7-12,7,8,0.08854090179916807,2.0998,10.0418,4.78,50,1,0.1333,1,0.1081,1,0.0933,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,53,0,16,7-12,7,12,0.09967503168938929,2.0969,9.9189,4.73,50,1,0.1053,1,0.1566,1,0.0888,xenium_human_kidney_nondiseased_seed4
Contiguous Random,54,0,18,7-12,8,2,0.10117906650664599,2.7753,10.6823,3.85,50,1,0.3333,1,0.2,1,0.1246,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,54,0,18,7-12,8,1,-6.946707201693769e-07,2.1308,10.2427,4.81,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,55,0,5,7-12,7,1,9.566558261120406e-07,3.0593,9.3281,3.05,50,1,0.3333,1,0.2917,1,0.2899,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,55,0,5,7-12,7,1,2.70378134381577e-06,3.0096,9.3267,3.1,50,1,0.75,1,0.84,1,0.7931,xenium_human_kidney_nondiseased_seed4
Contiguous Random,56,0,7,7-12,11,1,-4.258886941332918e-06,3.0772,12.7763,4.15,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,56,0,7,7-12,11,1,-2.5343502357833003e-06,2.8426,12.5298,4.41,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,57,0,14,7-12,7,1,2.1088012162051584e-06,2.0383,9.7155,4.77,50,1,0.8,1,0.56,1,0.4312,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,57,0,14,7-12,7,1,3.661945837118985e-07,2.123,9.7222,4.58,50,1,0.8,1,0.6579,1,0.2203,xenium_human_kidney_nondiseased_seed4
Contiguous Random,58,0,5,7-12,7,3,0.0981673591111622,2.1143,9.2219,4.36,50,1,0.4,1,0.6364,1,0.5333,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,58,0,5,7-12,7,1,4.2445461585494115e-06,2.7848,9.21,3.31,50,1,0.8333,1,0.7857,1,0.4697,xenium_human_kidney_nondiseased_seed4
Contiguous Random,59,0,5,7-12,8,1,-3.7919946487274814e-06,3.2795,9.6527,2.94,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
