modality,id,x0,y0,x1,y1
Xenium,138,1865.621420574188,1345.627729845047,2193.794686317444,1792.130160331726
Xenium,139,1537.4481548309325,1345.627729845047,1865.621420574188,1792.130160331726
Xenium,140,1865.621420574188,899.1252993583679,2193.794686317444,1345.627729845047
Xenium,141,1537.4481548309325,899.1252993583679,1865.621420574188,1345.627729845047
Xenium,142,2521.9679520606996,452.6228688716888,2850.141217803955,899.1252993583679
Xenium,143,2193.794686317444,452.6228688716888,2521.9679520606996,899.1252993583679
Xenium,144,2521.9679520606996,6.120438385009765,2850.141217803955,452.6228688716888
Xenium,145,2193.794686317444,6.120438385009765,2521.9679520606996,452.6228688716888
Xenium,146,1865.621420574188,452.6228688716888,2193.794686317444,899.1252993583679
Xenium,147,1537.4481548309325,452.6228688716888,1865.621420574188,899.1252993583679
Xenium,148,1865.621420574188,6.120438385009765,2193.794686317444,452.6228688716888
Xenium,149,1537.4481548309325,6.120438385009765,1865.621420574188,452.6228688716888
Xenium,150,1209.274889087677,1345.627729845047,1537.4481548309325,1792.130160331726
Xenium,151,881.1016233444213,1345.627729845047,1209.274889087677,1792.130160331726
Xenium,152,1209.274889087677,899.1252993583679,1537.4481548309325,1345.627729845047
Xenium,153,881.1016233444213,899.1252993583679,1209.274889087677,1345.627729845047
Xenium,154,552.9283576011658,1345.627729845047,881.1016233444213,1792.130160331726
Xenium,155,224.75509185791012,1345.627729845047,552.9283576011658,1792.130160331726
Xenium,156,552.9283576011658,899.1252993583679,881.1016233444213,1345.627729845047
Xenium,157,224.75509185791012,899.1252993583679,552.9283576011658,1345.627729845047
Xenium,158,1209.274889087677,452.6228688716888,1537.4481548309325,899.1252993583679
Xenium,159,881.1016233444213,452.6228688716888,1209.274889087677,899.1252993583679
Xenium,160,1209.274889087677,6.120438385009765,1537.4481548309325,452.6228688716888
Xenium,161,881.1016233444213,6.120438385009765,1209.274889087677,452.6228688716888
Xenium,162,552.9283576011658,452.6228688716888,881.1016233444213,899.1252993583679
Xenium,163,224.75509185791012,452.6228688716888,552.9283576011658,899.1252993583679
Xenium,164,552.9283576011658,6.120438385009765,881.1016233444213,452.6228688716888
Xenium,165,224.75509185791012,6.120438385009765,552.9283576011658,452.6228688716888
Visium,0,4819.180812263488,6257.154465198517,5475.52734375,7150.159326171874
Visium,1,4491.0075465202335,6703.656895685195,4819.180812263488,7150.159326171874
Visium,2,4491.0075465202335,6257.154465198517,4819.180812263488,6703.656895685195
Visium,3,4162.834280776978,6257.154465198517,4491.0075465202335,6703.656895685195
Visium,4,4819.180812263488,5364.149604225158,5475.52734375,6257.154465198517
Visium,5,4491.0075465202335,5810.652034711838,4819.180812263488,6257.154465198517
Visium,6,4162.834280776978,5810.652034711838,4491.0075465202335,6257.154465198517
Visium,7,4491.0075465202335,5364.149604225158,4819.180812263488,5810.652034711838
Visium,8,4162.834280776978,5364.149604225158,4491.0075465202335,5810.652034711838
Visium,9,3834.661015033722,6703.656895685195,4162.834280776978,7150.159326171874
Visium,10,3834.661015033722,6257.154465198517,4162.834280776978,6703.656895685195
Visium,11,3506.487749290466,6257.154465198517,3834.661015033722,6703.656895685195
Visium,12,3178.3144835472103,6703.656895685195,3506.487749290466,7150.159326171874
Visium,13,2850.141217803955,6703.656895685195,3178.3144835472103,7150.159326171874
Visium,14,3178.3144835472103,6257.154465198517,3506.487749290466,6703.656895685195
