Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,53,1,0,7-12,10,1,-3.2992721351182697e-06,3.6163,10.1689,2.81,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,54,2,2,7-12,7,1,1.9922253362558706e-06,4.6124,10.5673,2.29,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,54,2,2,7-12,7,1,-3.6414934627693185e-06,4.4289,10.2672,2.32,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,55,0,12,7-12,7,1,-2.5333647488690048e-06,2.9473,11.772,3.99,50,1,1.0,1,0.2222,1,0.125,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,55,0,12,7-12,7,2,0.05226860571070391,3.4777,11.6783,3.36,50,1,0.6667,1,0.5714,1,0.3919,xenium_human_skin_melanoma_seed1
Contiguous Random,56,0,10,7-12,10,8,0.07306555601190579,3.7511,14.7805,3.94,50,1,0.2333,1,0.2667,1,0.269,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,56,0,10,7-12,10,1,2.2047083746423723e-06,3.672,14.6932,4.0,50,1,0.2653,1,0.2248,1,0.2461,xenium_human_skin_melanoma_seed1
Contiguous Random,57,1,10,7-12,7,26,0.22565623998512263,2.8902,11.7498,4.07,50,0,0.0,1,0.0395,1,0.0804,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,57,1,10,7-12,7,28,0.23707105791178473,2.9696,11.5168,3.88,50,0,0.0,1,0.026,1,0.0802,xenium_human_skin_melanoma_seed1
Contiguous Random,58,1,13,7-12,12,15,0.07467666595882094,3.7786,22.6839,6.0,50,1,0.1096,1,0.1103,1,0.0746,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,58,1,13,7-12,12,15,0.07467666595882094,3.6172,18.8072,5.2,50,1,0.1096,1,0.1103,1,0.0746,xenium_human_skin_melanoma_seed1
Contiguous Random,59,2,1,7-12,12,1,2.0679092394004783e-06,5.4598,14.3801,2.63,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,59,2,1,7-12,12,1,3.0964069255290383e-06,5.3762,14.278,2.66,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,60,0,13,7-12,9,2,0.017702961591084754,3.4229,13.6166,3.98,50,1,0.413,1,0.35,1,0.1572,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,60,0,13,7-12,9,1,-4.598833719837714e-06,5.454,13.6594,2.5,50,1,0.5714,1,0.7308,1,0.2604,xenium_human_skin_melanoma_seed1
Contiguous Random,61,0,12,7-12,9,5,0.17162387805938717,3.1688,13.7919,4.35,50,0,0.0,1,0.3846,1,0.1513,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,61,0,12,7-12,9,1,-6.964747110149716e-07,4.4611,13.656,3.06,50,1,0.5714,1,0.3617,1,0.1729,xenium_human_skin_melanoma_seed1
Contiguous Random,62,2,11,7-12,7,1,-2.4033314721672028e-06,3.8015,11.8054,3.11,50,1,0.9231,1,0.8049,1,0.75,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,62,2,11,7-12,7,1,4.215210239078004e-06,3.7806,11.6507,3.08,50,1,0.2727,1,0.2034,1,0.1095,xenium_human_skin_melanoma_seed1
Contiguous Random,63,1,2,7-12,10,1,1.8035747020306303e-06,4.0342,12.1349,3.01,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,63,1,2,7-12,10,1,-4.146533141735631e-06,4.7744,12.3042,2.58,50,1,1.0,1,0.7143,1,0.7857,xenium_human_skin_melanoma_seed1
Contiguous Random,64,2,0,7-12,11,1,-1.759741825868577e-06,5.5412,11.3058,2.04,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,64,2,0,7-12,11,1,3.1288693752296037e-06,5.3342,10.8692,2.04,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,65,1,8,7-12,8,1,3.051197806747119e-06,4.4233,12.6335,2.86,50,1,1.0,1,0.9444,1,0.9333,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,65,1,8,7-12,8,1,-4.2049187389814335e-06,4.2417,12.5572,2.96,50,1,0.8571,1,0.9,1,0.9091,xenium_human_skin_melanoma_seed1
Contiguous Random,66,0,4,7-12,12,1,-4.471494936542086e-06,5.4099,15.3826,2.84,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,66,0,4,7-12,12,1,-4.954780727040031e-06,5.3406,15.2732,2.86,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,67,0,11,7-12,12,13,0.15474568832932534,4.9322,18.0704,3.66,50,1,0.0357,1,0.0577,1,0.0998,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,67,0,11,7-12,12,10,0.09712225810190178,4.6877,18.1156,3.86,50,1,0.1194,1,0.0652,1,0.0832,xenium_human_skin_melanoma_seed1
Contiguous Random,68,0,6,7-12,9,1,-1.0542551676095968e-06,3.7139,12.992,3.5,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,68,0,6,7-12,9,1,-8.260091146627957e-07,3.8558,12.9671,3.36,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,69,0,13,7-12,8,1,2.6589082459116398e-06,3.8154,12.5076,3.28,50,1,1.0,1,1.0,1,0.92,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,69,0,13,7-12,8,1,4.970240063406628e-06,3.6197,12.4725,3.45,50,1,0.1364,1,0.1321,1,0.0909,xenium_human_skin_melanoma_seed1
Contiguous Random,70,2,15,7-12,9,1,-4.021199544457232e-06,4.4517,12.9451,2.91,50,1,1.0,1,1.0,1,0.46,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,70,2,15,7-12,9,1,-2.785237631641735e-07,4.0435,12.8463,3.18,50,1,1.0,1,1.0,1,0.75,xenium_human_skin_melanoma_seed1
Contiguous Random,71,0,13,7-12,12,1,-9.666708700173388e-07,4.6686,17.4642,3.74,50,1,0.2917,1,0.1702,1,0.1014,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,71,0,13,7-12,12,1,3.872896896517375e-06,5.5819,17.369,3.11,50,1,0.6207,1,0.3826,1,0.0994,xenium_human_skin_melanoma_seed1
Contiguous Random,72,0,15,7-12,12,1,8.217802033305688e-07,5.0145,17.6275,3.52,50,1,0.4483,1,0.184,1,0.0894,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,72,0,15,7-12,12,1,-7.942102471236723e-07,5.9561,17.33,2.91,50,1,0.5,1,0.3855,1,0.2747,xenium_human_skin_melanoma_seed1
Contiguous Random,73,2,17,7-12,10,1,4.860806976925147e-06,4.7726,14.9066,3.12,50,1,0.4,1,0.2319,1,0.0901,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,73,2,17,7-12,10,1,-3.0398367740769316e-06,4.8917,15.1354,3.09,50,1,0.1905,1,0.1863,1,0.0845,xenium_human_skin_melanoma_seed1
Contiguous Random,74,0,10,7-12,9,7,0.06151312213897708,3.2731,14.0943,4.31,50,1,0.1765,1,0.3065,1,0.2323,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,74,0,10,7-12,9,5,0.0430133071263632,4.9607,13.7073,2.76,50,1,0.2105,1,0.3191,1,0.2293,xenium_human_skin_melanoma_seed1
Contiguous Random,75,1,9,7-12,12,3,0.03994272181679637,4.9651,17.5935,3.54,50,1,0.2273,1,0.2222,1,0.1678,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,75,1,9,7-12,12,1,4.840225145685828e-06,5.0118,17.7029,3.53,50,1,0.62,1,0.3721,1,0.1266,xenium_human_skin_melanoma_seed1
